Crop,Soil Type,Nitrogen (N),Phosphorus (P),Potassium (K),Crop Growth Stage,Rainfall (mm),Temperature (°C),Irrigation Availability,Past Yield (tons/ha),Pest/Disease,Region,Fertilizer Recommendation
ground nuts,clayey,0.125,0.433333333,0.183333333,Sowing,0.051851852,0.055555556,Yes,0.731044349,No,Maharashtra,MOP
tobacco,clayey,0.8875,0.483333333,0.983333333,Vegetative,0.911111111,0.722222222,No,0.623748212,Yes,Madhya Pradesh,DAP
tobacco,black,0.8875,0.933333333,0.683333333,Harvest,0.185185185,0,No,0.147353362,No,Uttar Pradesh,Ammonium Sulphate
cotton,red,0.975,0.65,0.216666667,Maturity,0.848148148,0.222222222,Yes,0.223175966,Yes,Rajasthan,MOP
sugarcane,black,0.2625,0.716666667,0.3,Maturity,0.859259259,1,No,0.094420601,Yes,Karnataka,Zinc Sulphate
paddy,clayey,0.35,0.25,0.466666667,Vegetative,0.555555556,0.111111111,No,0.596566524,Yes,Karnataka,Zinc Sulphate
paddy,loamy,0.1875,0.316666667,0.316666667,Harvest,0.559259259,0.888888889,Yes,0.725321888,No,Gujarat,Compost
ground nuts,red,0.3,0.433333333,0.45,Flowering,0.022222222,0.388888889,Yes,0.613733906,Yes,Madhya Pradesh,NPK 20-20-20
barley,black,0.1625,0.316666667,0.15,Sowing,0.02962963,1,No,0.439198856,Yes,Karnataka,MOP
millets,red,0.475,0.516666667,0.233333333,Flowering,0.059259259,0.444444444,Yes,0.165951359,Yes,Gujarat,FYM
cotton,loamy,0.375,0.516666667,0.383333333,Vegetative,0.462962963,0.777777778,Yes,0.353361946,Yes,Uttar Pradesh,Ammonium Sulphate
cotton,sandy,0.8375,0.533333333,0.983333333,Flowering,0.603703704,0.777777778,Yes,0.467811159,Yes,Karnataka,DAP
pulses,loamy,0,0.066666667,0.433333333,Vegetative,0.340740741,0.5,No,0.52074392,No,Uttar Pradesh,Urea
maize,red,0.975,0.433333333,0.3,Flowering,0.677777778,0.611111111,Yes,0.510729614,Yes,West Bengal,Urea
barley,loamy,0.4625,0.466666667,0.083333333,Flowering,0.366666667,0.111111111,No,0.037195994,Yes,Andhra Pradesh,MOP
paddy,black,0.45,0.333333333,0.016666667,Sowing,0.422222222,0.666666667,No,0.137339056,Yes,Madhya Pradesh,MOP
cotton,clayey,0.3125,0.6,0.95,Flowering,0.559259259,0.888888889,Yes,0.722460658,Yes,Punjab,Urea
millets,black,0.15,0.4,0.5,Harvest,0.033333333,0.666666667,Yes,0.812589413,Yes,Rajasthan,FYM
cotton,loamy,0.3875,0.583333333,0.7,Sowing,0.777777778,0.388888889,No,0.296137339,Yes,Rajasthan,NPK 20-20-20
oil seeds,black,0.3,0.083333333,0.5,Flowering,0.985185185,0.111111111,No,0.908440629,Yes,Andhra Pradesh,DAP
tobacco,red,1,0.4,0.266666667,Vegetative,0.414814815,0.833333333,No,0.716738197,Yes,Maharashtra,MOP
ground nuts,clayey,0.075,0.35,0.05,Flowering,0.440740741,0.111111111,No,0.201716738,Yes,Madhya Pradesh,Urea
sugarcane,sandy,0.925,0.866666667,0.95,Flowering,0.592592593,0.055555556,No,0.424892704,Yes,Maharashtra,Urea
sugarcane,red,0.2875,0.7,0.566666667,Vegetative,0.555555556,0.055555556,Yes,0.854077253,No,Tamil Nadu,Compost
wheat,clayey,0.35,0.25,0,Harvest,0.707407407,0.166666667,No,0.599427754,Yes,Uttar Pradesh,MOP
tobacco,sandy,0.775,0.35,0.183333333,Flowering,0.862962963,0.222222222,Yes,0.615164521,No,Gujarat,MOP
barley,sandy,0.3375,0.566666667,0.666666667,Maturity,0.344444444,0.388888889,No,0.924177396,No,Punjab,MOP
cotton,red,0.5,0.783333333,0.716666667,Maturity,0.222222222,0.666666667,No,0.984263233,No,West Bengal,Ammonium Sulphate
oil seeds,clayey,0.0125,0.066666667,0.233333333,Sowing,0.451851852,0.777777778,Yes,0.752503577,No,Madhya Pradesh,Urea
millets,loamy,0.4,0.6,0.283333333,Vegetative,0.048148148,0.166666667,No,0.39341917,Yes,Rajasthan,FYM
wheat,sandy,0.375,0.433333333,0.316666667,Vegetative,0.948148148,1,Yes,0.715307582,Yes,Gujarat,Zinc Sulphate
pulses,loamy,0.25,0.183333333,0.433333333,Flowering,0.651851852,0.166666667,Yes,0.457796853,No,Maharashtra,Ammonium Sulphate
millets,loamy,0.275,0.166666667,0.216666667,Harvest,0.874074074,0.944444444,No,0.115879828,Yes,Punjab,Urea
ground nuts,clayey,0.05,0.266666667,0.483333333,Harvest,0.1,0.722222222,Yes,0.78111588,Yes,Tamil Nadu,Urea
barley,clayey,0.2,0.666666667,0.35,Maturity,0.388888889,0.111111111,Yes,0.350500715,No,Maharashtra,MOP
barley,loamy,0.3625,0.2,0.15,Vegetative,0.692592593,0.722222222,No,0.147353362,Yes,Andhra Pradesh,MOP
maize,red,0.625,0.35,0.516666667,Sowing,0.603703704,0.444444444,Yes,0.537911302,No,Tamil Nadu,Zinc Sulphate
wheat,red,0.4625,0.25,0.05,Flowering,0.414814815,0.611111111,No,0.267525036,Yes,Tamil Nadu,MOP
pulses,sandy,0.5,0.216666667,0.4,Vegetative,0.981481481,0,No,0.535050072,Yes,Karnataka,Zinc Sulphate
pulses,sandy,0.05,0,0,Harvest,0.025925926,0.111111111,Yes,0.081545064,No,Tamil Nadu,Urea
tobacco,loamy,0.7375,0.866666667,0.883333333,Flowering,0.096296296,0.666666667,Yes,0.889842632,Yes,Rajasthan,Urea
pulses,loamy,0.0625,0,0.433333333,Sowing,0.881481481,1,No,0.6981402,No,Maharashtra,Urea
wheat,red,0.15,0.6,0.6,Harvest,0.311111111,0.888888889,No,0.526466381,Yes,Rajasthan,Urea
pulses,sandy,0.2875,0.3,0.316666667,Sowing,0.425925926,0.777777778,Yes,0.319027182,Yes,Punjab,MOP
barley,clayey,0.5375,0.2,0.616666667,Maturity,0.114814815,0.5,Yes,0.423462089,Yes,Karnataka,Compost
cotton,red,0.7,0.883333333,0.3,Sowing,0.592592593,0.333333333,No,0.575107296,No,Andhra Pradesh,FYM
ground nuts,loamy,0.1875,0.15,0.05,Harvest,0.240740741,0.555555556,No,0.460658083,No,Andhra Pradesh,DAP
millets,loamy,0.2875,0.566666667,0.616666667,Harvest,0.262962963,0.166666667,No,0.221745351,No,Uttar Pradesh,Urea
millets,red,0.6875,0.433333333,0.466666667,Maturity,0.67037037,0.333333333,No,0.608011445,Yes,Punjab,NPK 20-20-20
wheat,black,0.625,0.25,0,Sowing,0.185185185,0.388888889,No,0.402002861,Yes,Gujarat,MOP
oil seeds,loamy,0.4375,0.216666667,0.1,Sowing,0.025925926,0.555555556,No,0.492131617,No,Rajasthan,MOP
barley,clayey,0.6875,0.316666667,0.116666667,Vegetative,0.748148148,0.444444444,Yes,0.208869814,No,Gujarat,MOP
millets,sandy,0.4125,0.233333333,0.166666667,Maturity,0.855555556,0.111111111,Yes,0.735336195,No,Karnataka,MOP
millets,sandy,0.4,0.566666667,0.6,Maturity,0.114814815,0.722222222,Yes,0.413447783,Yes,West Bengal,Zinc Sulphate
paddy,black,0.7125,0.283333333,0.483333333,Maturity,0.796296296,0.777777778,Yes,0.157367668,No,Maharashtra,Compost
barley,black,0.425,0.25,0.6,Flowering,0.433333333,0.333333333,Yes,0.381974249,Yes,Uttar Pradesh,DAP
oil seeds,red,0.25,0.316666667,0.316666667,Harvest,0.17037037,0.388888889,Yes,0.077253219,Yes,Andhra Pradesh,Ammonium Sulphate
oil seeds,red,0.2375,0.1,0.383333333,Sowing,0.644444444,0.055555556,Yes,0.467811159,No,Karnataka,DAP
oil seeds,loamy,0,0.133333333,0.35,Sowing,0.933333333,0.944444444,No,0.258941345,No,Gujarat,Urea
tobacco,black,0.6125,0.733333333,0.45,Sowing,0.592592593,0.444444444,No,0.090128755,No,West Bengal,Compost
sugarcane,sandy,0.55,0.916666667,0.916666667,Flowering,0.7,0.111111111,No,0.51788269,No,Andhra Pradesh,MOP
cotton,red,0.5875,0.583333333,0.383333333,Flowering,0.211111111,0.555555556,Yes,0.645207439,No,Uttar Pradesh,Compost
maize,clayey,0.6875,0.683333333,0.583333333,Vegetative,0.159259259,0.888888889,No,0.842632332,Yes,Punjab,Ammonium Sulphate
tobacco,black,0.25,0.933333333,0.266666667,Sowing,0.974074074,0.388888889,No,0.792560801,No,Gujarat,DAP
wheat,red,0.3375,0.316666667,0.416666667,Sowing,0.207407407,0.833333333,No,0.854077253,No,Maharashtra,FYM
tobacco,clayey,0.9,0.383333333,0.983333333,Maturity,0.311111111,0.277777778,No,0.21888412,No,Gujarat,DAP
wheat,sandy,0.525,0.583333333,0.283333333,Flowering,0.314814815,0.833333333,No,0.845493562,No,Rajasthan,Zinc Sulphate
maize,black,0.9625,0.833333333,0.433333333,Sowing,0.440740741,0.722222222,Yes,0.473533619,Yes,Gujarat,Ammonium Sulphate
ground nuts,black,0.2125,0.416666667,0.266666667,Sowing,0.407407407,0.388888889,No,0.965665236,No,West Bengal,DAP
oil seeds,sandy,0.275,0.3,0.183333333,Flowering,0.503703704,0.777777778,No,0.091559371,No,Uttar Pradesh,Zinc Sulphate
ground nuts,black,0.45,0.133333333,0.133333333,Maturity,0.703703704,0.444444444,No,0.399141631,Yes,Maharashtra,DAP
ground nuts,red,0.4625,0.116666667,0.15,Harvest,0.851851852,0.166666667,No,0.949928469,Yes,West Bengal,DAP
oil seeds,clayey,0.3625,0.383333333,0,Vegetative,0.577777778,0,Yes,0.47925608,No,Gujarat,MOP
tobacco,red,0.45,0.583333333,0.85,Harvest,0.440740741,0.722222222,Yes,0.662374821,Yes,Madhya Pradesh,Urea
pulses,sandy,0.375,0.316666667,0.283333333,Flowering,0.262962963,0.222222222,Yes,0.690987124,No,Tamil Nadu,NPK 20-20-20
maize,red,0.775,0.95,0.95,Vegetative,0.055555556,0.277777778,Yes,0.743919886,No,Karnataka,DAP
barley,red,0.6375,0.5,0.616666667,Harvest,0.440740741,0,No,0.889842632,No,Gujarat,DAP
ground nuts,black,0.0625,0.083333333,0.483333333,Sowing,0.518518519,0.555555556,No,0.779685265,Yes,Andhra Pradesh,Urea
paddy,sandy,0.1375,0.45,0.4,Vegetative,0.251851852,0.333333333,Yes,0.154506438,Yes,Madhya Pradesh,MOP
millets,red,0.425,0.55,0.25,Vegetative,0.537037037,0.666666667,No,0.731044349,No,Uttar Pradesh,NPK 20-20-20
millets,sandy,0.4375,0.666666667,0.033333333,Harvest,0.311111111,0.333333333,Yes,0.587982833,Yes,Andhra Pradesh,MOP
barley,sandy,0.35,0.483333333,0.483333333,Sowing,0.144444444,0.166666667,No,0.95565093,No,Punjab,Compost
paddy,clayey,0.6375,0.533333333,0.233333333,Maturity,0.196296296,0.5,Yes,0.526466381,No,Maharashtra,Urea
tobacco,sandy,0.925,0.4,0.6,Flowering,0.755555556,0.111111111,No,0.682403433,Yes,Punjab,Compost
cotton,sandy,0.9625,0.933333333,0.75,Harvest,0.581481481,0,No,0.600858369,No,Gujarat,NPK 20-20-20
cotton,loamy,0.95,0.566666667,0.216666667,Flowering,0.933333333,0.444444444,No,0.779685265,Yes,Andhra Pradesh,Urea
sugarcane,clayey,0.8375,0.483333333,0.616666667,Vegetative,0.788888889,0.833333333,Yes,0.945636624,Yes,West Bengal,Urea
barley,sandy,0.4625,0.65,0.35,Harvest,0.507407407,0.166666667,No,0.582260372,No,Rajasthan,DAP
maize,red,0.3625,0.916666667,0.9,Flowering,0.522222222,0.388888889,No,0.306151645,Yes,Gujarat,Compost
maize,clayey,0.8,0.4,0.833333333,Sowing,0.325925926,0.777777778,No,0.221745351,No,Andhra Pradesh,Ammonium Sulphate
pulses,black,0.2375,0.05,0.483333333,Harvest,0.407407407,0.722222222,No,0.253218884,No,Uttar Pradesh,DAP
paddy,clayey,0.1875,0.55,0.366666667,Vegetative,0.437037037,0.666666667,Yes,0.373390558,No,Rajasthan,Ammonium Sulphate
pulses,loamy,0,0.366666667,0.216666667,Harvest,0.444444444,0.166666667,Yes,0.494992847,Yes,Punjab,Urea
cotton,clayey,0.425,0.616666667,0.783333333,Harvest,0.433333333,0.611111111,Yes,0.473533619,No,Tamil Nadu,Ammonium Sulphate
ground nuts,black,0.475,0.266666667,0.35,Sowing,0.955555556,0.666666667,Yes,0.668097282,Yes,Rajasthan,NPK 20-20-20
tobacco,black,0.3625,0.483333333,0.983333333,Vegetative,0.740740741,0.611111111,No,0.158798283,No,Gujarat,Ammonium Sulphate
wheat,clayey,0.1375,0.666666667,0.233333333,Sowing,0.988888889,0.333333333,No,0.12732475,No,Gujarat,MOP
barley,black,0.6,0.433333333,0.25,Flowering,0.148148148,0.555555556,Yes,0.979971388,Yes,Tamil Nadu,Zinc Sulphate
wheat,red,0.1875,0.3,0.4,Flowering,0.9,0.777777778,Yes,0.552217454,Yes,Gujarat,Compost
wheat,sandy,0.35,0.6,0.616666667,Sowing,0.051851852,0.277777778,Yes,0.52074392,Yes,Rajasthan,Ammonium Sulphate
barley,loamy,0.4875,0.533333333,0.633333333,Harvest,0.166666667,0.277777778,Yes,0.203147353,No,Andhra Pradesh,Zinc Sulphate
tobacco,clayey,0.8875,0.833333333,0.8,Flowering,0.333333333,0.777777778,Yes,0.453505007,No,Uttar Pradesh,MOP
ground nuts,black,0.35,0.383333333,0.083333333,Sowing,0.42962963,0,Yes,0.264663805,Yes,Rajasthan,MOP
barley,loamy,0.325,0.25,0.566666667,Vegetative,0.414814815,0.611111111,Yes,0.359084406,No,Maharashtra,FYM
wheat,clayey,0.6625,0.45,0.483333333,Sowing,0.396296296,0.222222222,No,0.294706724,No,Madhya Pradesh,Ammonium Sulphate
millets,clayey,0.725,0.65,0,Flowering,0.774074074,0.611111111,Yes,0.663805436,Yes,Tamil Nadu,MOP
cotton,clayey,0.675,0.716666667,0.183333333,Sowing,0.244444444,0.722222222,Yes,0.721030043,No,Tamil Nadu,Zinc Sulphate
maize,clayey,0.7875,0.616666667,0.216666667,Vegetative,0.559259259,0.5,Yes,0.17453505,Yes,Maharashtra,Compost
barley,black,0.1375,0.65,0.133333333,Vegetative,0.192592593,0.555555556,Yes,0.570815451,Yes,Gujarat,MOP
maize,black,0.35,0.65,0.766666667,Sowing,0.455555556,0.111111111,Yes,0.854077253,No,Punjab,DAP
sugarcane,loamy,0.5875,0.533333333,0.45,Vegetative,0.722222222,0.444444444,Yes,0.516452074,No,Tamil Nadu,Urea
maize,loamy,0.525,0.35,0.8,Maturity,0.437037037,0.944444444,No,0.741058655,Yes,Andhra Pradesh,Ammonium Sulphate
maize,loamy,0.5125,0.9,0.4,Vegetative,0.014814815,0.833333333,No,0.120171674,Yes,Gujarat,NPK 20-20-20
millets,loamy,0.35,0.533333333,0.333333333,Flowering,0.622222222,0.722222222,Yes,0.672389127,Yes,Gujarat,Urea
cotton,sandy,0.9125,0.4,0.883333333,Flowering,0.085185185,0.555555556,Yes,0.891273247,No,Andhra Pradesh,FYM
sugarcane,red,0.9375,0.566666667,0.983333333,Sowing,0.12962963,0.388888889,Yes,0.273247496,Yes,West Bengal,Zinc Sulphate
sugarcane,loamy,0.375,0.733333333,0.8,Flowering,0.914814815,0.666666667,Yes,0.383404864,Yes,Tamil Nadu,FYM
tobacco,clayey,0.6625,0.666666667,0.45,Harvest,0.140740741,0.555555556,No,0.248927039,Yes,West Bengal,Urea
tobacco,black,0.75,0.583333333,0.716666667,Flowering,0.811111111,0.944444444,No,0.683834049,No,Uttar Pradesh,FYM
barley,red,0.25,0.616666667,0.366666667,Vegetative,0.592592593,0.444444444,No,0.959942775,Yes,Uttar Pradesh,DAP
sugarcane,red,0.9125,0.4,0.366666667,Vegetative,0.125925926,0.5,Yes,0.715307582,Yes,Tamil Nadu,Ammonium Sulphate
sugarcane,sandy,0.7375,1,0.216666667,Sowing,0.588888889,0.388888889,No,0.321888412,No,Punjab,Ammonium Sulphate
barley,black,0.7,0.55,0.45,Harvest,0.92962963,0.055555556,No,0.131616595,Yes,Madhya Pradesh,DAP
millets,red,0.5125,0.333333333,0.016666667,Vegetative,0.162962963,0.444444444,No,0.688125894,No,Madhya Pradesh,MOP
oil seeds,loamy,0.2375,0.433333333,0.283333333,Maturity,0.703703704,0.222222222,Yes,0.154506438,No,Punjab,Compost
paddy,sandy,0.425,0.35,0.483333333,Flowering,0.633333333,0.888888889,No,0.287553648,No,Maharashtra,NPK 20-20-20
tobacco,black,0.4875,0.6,0.8,Maturity,0.414814815,0.888888889,Yes,0.347639485,No,Karnataka,FYM
maize,clayey,0.775,0.4,0.4,Maturity,0.6,0.611111111,Yes,0.709585122,No,Karnataka,Zinc Sulphate
maize,loamy,0.625,0.833333333,0.466666667,Flowering,0.17037037,0.333333333,No,0.30758226,No,Rajasthan,Compost
paddy,loamy,0.5375,0.166666667,0.133333333,Harvest,0.377777778,0.444444444,No,0.034334764,No,Rajasthan,MOP
wheat,clayey,0.575,0.583333333,0.616666667,Harvest,0.277777778,1,No,0.899856938,Yes,Karnataka,DAP
wheat,red,0.7,0.4,0.166666667,Harvest,0.581481481,0.722222222,No,0.35193133,No,Tamil Nadu,DAP
tobacco,clayey,0.2625,0.516666667,0.183333333,Sowing,0.585185185,0,Yes,0.628040057,Yes,Uttar Pradesh,Urea
tobacco,black,0.8125,0.716666667,0.383333333,Maturity,0.162962963,0.333333333,No,0.377682403,No,West Bengal,Urea
barley,loamy,0.7375,0.183333333,0.316666667,Harvest,0.659259259,0.833333333,Yes,0.087267525,No,West Bengal,DAP
barley,clayey,0.55,0.45,0.016666667,Vegetative,0.881481481,0.166666667,No,0.756795422,Yes,Rajasthan,MOP
cotton,clayey,0.75,0.7,0.483333333,Vegetative,0.433333333,0.722222222,No,0.098712446,No,Maharashtra,Zinc Sulphate
sugarcane,black,0.85,0.516666667,0.7,Vegetative,0.948148148,0.722222222,Yes,0.879828326,No,Karnataka,DAP
ground nuts,sandy,0.025,0.316666667,0.4,Harvest,0.974074074,0.222222222,No,0.125894134,Yes,Andhra Pradesh,Urea
oil seeds,black,0.15,0.466666667,0.083333333,Maturity,0.396296296,1,Yes,0.529327611,Yes,Uttar Pradesh,MOP
wheat,sandy,0.4,0.583333333,0.433333333,Sowing,0.703703704,0.888888889,No,0.008583691,Yes,Andhra Pradesh,MOP
tobacco,sandy,1,0.433333333,0.283333333,Harvest,0.007407407,0.555555556,No,0.509298999,No,Tamil Nadu,Compost
sugarcane,loamy,0.9375,0.8,0.766666667,Maturity,0.374074074,0.333333333,No,0.380543634,No,Tamil Nadu,Urea
ground nuts,black,0.0625,0.3,0.183333333,Vegetative,0.744444444,0.055555556,No,0.055793991,Yes,Tamil Nadu,Urea
cotton,loamy,0.6875,0.683333333,0.483333333,Maturity,0.877777778,0.5,No,0.60658083,Yes,West Bengal,Compost
cotton,red,0.3875,0.583333333,0.366666667,Harvest,0.944444444,0,Yes,0.210300429,No,Uttar Pradesh,MOP
paddy,red,0.75,0.35,0.033333333,Harvest,0.359259259,0.444444444,Yes,0.13018598,Yes,Tamil Nadu,MOP
millets,red,0.2375,0.2,0.466666667,Flowering,0.640740741,0.222222222,Yes,0.656652361,No,Tamil Nadu,FYM
barley,black,0.525,0.533333333,0.033333333,Harvest,0.077777778,0.833333333,Yes,0.403433476,No,Andhra Pradesh,MOP
oil seeds,black,0.325,0.116666667,0.5,Harvest,0.611111111,0.555555556,No,0.321888412,Yes,Punjab,DAP
millets,red,0.6375,0.2,0.616666667,Harvest,0.974074074,0.5,No,0.971387697,Yes,Uttar Pradesh,NPK 20-20-20
sugarcane,red,0.625,0.466666667,0.266666667,Vegetative,0.140740741,0.722222222,No,0.982832618,No,Madhya Pradesh,DAP
cotton,sandy,0.6625,0.45,0.366666667,Vegetative,0.774074074,0.777777778,No,0.317596567,No,Uttar Pradesh,FYM
wheat,loamy,0.1375,0.233333333,0.65,Vegetative,0.892592593,0.166666667,No,0.902718169,Yes,Madhya Pradesh,NPK 20-20-20
oil seeds,red,0.15,0.466666667,0.4,Flowering,0.725925926,1,Yes,0.207439199,Yes,Karnataka,Compost
sugarcane,red,0.6375,0.4,0.35,Sowing,0.774074074,0.222222222,Yes,0.157367668,Yes,Rajasthan,DAP
maize,clayey,0.425,0.983333333,0.183333333,Maturity,0.722222222,0.166666667,Yes,0.404864092,Yes,Karnataka,DAP
tobacco,red,0.2875,0.65,0.433333333,Sowing,0.644444444,0.777777778,Yes,0.751072961,Yes,Punjab,Zinc Sulphate
cotton,sandy,0.3625,0.716666667,0.25,Harvest,0.533333333,0.277777778,No,0.778254649,No,Gujarat,Urea
cotton,red,0.95,0.7,0.516666667,Flowering,0.948148148,0.388888889,No,0.992846924,Yes,Tamil Nadu,Compost
maize,red,0.7625,0.883333333,0.233333333,Maturity,0.6,0.888888889,No,0.004291845,Yes,Andhra Pradesh,Ammonium Sulphate
oil seeds,red,0,0.1,0.233333333,Flowering,0.52962963,0.277777778,Yes,0.181688126,Yes,West Bengal,Urea
wheat,black,0.35,0.3,0.083333333,Vegetative,0.466666667,0.222222222,Yes,0.896995708,Yes,Maharashtra,MOP
cotton,red,0.35,0.933333333,0.733333333,Maturity,0.292592593,0.111111111,Yes,0.758226037,No,Karnataka,Zinc Sulphate
paddy,sandy,0.6125,0.616666667,0,Maturity,0.774074074,0.833333333,Yes,0.74248927,Yes,Gujarat,MOP
barley,loamy,0.575,0.333333333,0.133333333,Vegetative,0.214814815,0.444444444,No,0.131616595,Yes,Gujarat,MOP
maize,clayey,0.25,0.666666667,0.783333333,Harvest,0.896296296,0.888888889,Yes,0.533619456,No,Maharashtra,NPK 20-20-20
oil seeds,clayey,0.15,0.233333333,0.116666667,Flowering,0.311111111,0.777777778,No,0.237482117,No,Karnataka,MOP
pulses,clayey,0.3,0.15,0.5,Harvest,0.9,0.166666667,Yes,0.875536481,Yes,Andhra Pradesh,DAP
barley,black,0.15,0.233333333,0.416666667,Sowing,0.122222222,0.388888889,No,0.26037196,Yes,Karnataka,Compost
maize,red,0.3875,0.55,0.483333333,Sowing,0.211111111,0.777777778,Yes,0.758226037,No,Maharashtra,Urea
tobacco,loamy,0.775,0.533333333,0.733333333,Harvest,0.892592593,0.111111111,No,0.792560801,Yes,Rajasthan,NPK 20-20-20
wheat,red,0.3,0.45,0.4,Harvest,0.3,0,No,0.572246066,Yes,Uttar Pradesh,NPK 20-20-20
ground nuts,red,0.1375,0.283333333,0.116666667,Maturity,0.225925926,1,No,0.278969957,No,Andhra Pradesh,MOP
pulses,clayey,0.075,0.033333333,0.483333333,Flowering,0.418518519,0.944444444,Yes,0.945636624,Yes,Rajasthan,Urea
paddy,loamy,0.5625,0.2,0.433333333,Maturity,0.011111111,0.166666667,Yes,0.907010014,Yes,Punjab,DAP
sugarcane,red,0.3125,0.5,0.233333333,Harvest,0.533333333,0,Yes,0.978540773,No,Tamil Nadu,DAP
oil seeds,clayey,0.3625,0.5,0.033333333,Harvest,0.577777778,0.777777778,Yes,0.460658083,No,Punjab,MOP
tobacco,clayey,0.825,0.533333333,0.45,Vegetative,0.759259259,0.555555556,No,0.745350501,No,Uttar Pradesh,Ammonium Sulphate
barley,black,0.2125,0.416666667,0.35,Flowering,0.97037037,0.944444444,Yes,0.626609442,No,Rajasthan,Zinc Sulphate
maize,clayey,0.825,0.4,0.966666667,Vegetative,0.737037037,0.888888889,Yes,0.350500715,Yes,West Bengal,Zinc Sulphate
oil seeds,clayey,0.15,0.366666667,0.233333333,Harvest,0.311111111,0.666666667,No,0.024320458,Yes,Uttar Pradesh,DAP
cotton,loamy,0.85,0.333333333,0.966666667,Maturity,0.307407407,0.555555556,No,0.101573677,Yes,Uttar Pradesh,Urea
oil seeds,black,0.0375,0.5,0.15,Vegetative,0.777777778,0.777777778,No,0.201716738,No,Tamil Nadu,Urea
cotton,sandy,0.9,0.45,0.733333333,Flowering,0.9,0.666666667,No,0.566523605,Yes,Uttar Pradesh,Urea
maize,clayey,0.9875,0.766666667,0.7,Vegetative,0.825925926,0.388888889,No,0.771101574,No,Punjab,NPK 20-20-20
cotton,sandy,0.3125,0.866666667,0.766666667,Maturity,0.722222222,0.777777778,Yes,0.228898426,No,West Bengal,Ammonium Sulphate
millets,loamy,0.175,0.35,0,Sowing,0.877777778,0.388888889,No,0.74248927,Yes,Punjab,MOP
barley,sandy,0.725,0.366666667,0.283333333,Maturity,0.644444444,0.722222222,Yes,0.929899857,Yes,Karnataka,Urea
ground nuts,red,0.0875,0.483333333,0.2,Sowing,0.885185185,0.055555556,No,0.849785408,No,Andhra Pradesh,Urea
tobacco,red,0.3125,0.783333333,0.333333333,Harvest,0.603703704,0.5,Yes,0.613733906,Yes,Tamil Nadu,MOP
cotton,red,0.7875,0.733333333,0.966666667,Flowering,0.903703704,0.555555556,Yes,0.00286123,No,Tamil Nadu,Zinc Sulphate
ground nuts,loamy,0.45,0.216666667,0.233333333,Flowering,0.540740741,0.166666667,Yes,0.759656652,Yes,Gujarat,FYM
sugarcane,sandy,0.825,0.333333333,0.166666667,Vegetative,0.659259259,0.944444444,Yes,0.323319027,Yes,Madhya Pradesh,DAP
sugarcane,sandy,0.8875,0.483333333,0.733333333,Sowing,0.159259259,0,No,0.040057225,No,Rajasthan,MOP
maize,sandy,0.8625,0.65,0.516666667,Vegetative,0.640740741,0.888888889,Yes,0.373390558,No,Madhya Pradesh,Ammonium Sulphate
ground nuts,red,0.175,0.2,0.083333333,Harvest,0.703703704,0.833333333,Yes,0.862660944,Yes,Gujarat,MOP
maize,loamy,0.825,0.6,0.366666667,Vegetative,0.211111111,1,No,0.012875536,Yes,West Bengal,FYM
ground nuts,clayey,0.25,0.466666667,0,Vegetative,0.074074074,0.833333333,Yes,0.204577969,Yes,Rajasthan,MOP
sugarcane,loamy,0.35,0.6,0.883333333,Harvest,0.240740741,0.611111111,No,0.261802575,Yes,Punjab,Compost
sugarcane,sandy,0.3125,0.683333333,0.75,Maturity,0.781481481,0.944444444,Yes,0.982832618,No,Uttar Pradesh,Urea
oil seeds,red,0.15,0.3,0.183333333,Maturity,0.988888889,0.666666667,No,0.247496423,No,Punjab,FYM
ground nuts,loamy,0.1,0.016666667,0.383333333,Flowering,0.862962963,0.222222222,No,0.141630901,No,Uttar Pradesh,Urea
maize,black,0.55,0.483333333,0.933333333,Sowing,0.540740741,1,No,0.69527897,Yes,Andhra Pradesh,Zinc Sulphate
ground nuts,black,0.0375,0.116666667,0.066666667,Sowing,0.9,0.277777778,Yes,0.670958512,No,Andhra Pradesh,Urea
wheat,clayey,0.4375,0.2,0.283333333,Flowering,0.244444444,0,No,0.597997139,Yes,Gujarat,MOP
tobacco,black,0.775,0.716666667,0.816666667,Sowing,0.759259259,1,No,0.161659514,No,Maharashtra,Compost
wheat,loamy,0.3125,0.316666667,0.416666667,Maturity,0.844444444,0.666666667,No,0.344778255,Yes,Tamil Nadu,Compost
paddy,loamy,0.25,0.383333333,0.2,Sowing,0.12962963,0.666666667,No,0.676680973,No,Karnataka,MOP
pulses,clayey,0.2125,0.116666667,0.366666667,Harvest,0.888888889,0.333333333,No,0.994277539,Yes,Rajasthan,DAP
paddy,sandy,0.675,0.433333333,0.483333333,Vegetative,0.155555556,0.333333333,No,0.987124464,No,Karnataka,Zinc Sulphate
paddy,red,0.5625,0.35,0.383333333,Harvest,0.685185185,0.5,No,0.711015737,No,Punjab,Zinc Sulphate
barley,red,0.45,0.2,0.416666667,Vegetative,0.459259259,0.888888889,Yes,0.659513591,Yes,Gujarat,NPK 20-20-20
oil seeds,sandy,0.1625,0.366666667,0.333333333,Harvest,0.903703704,0.5,No,0.050071531,No,Tamil Nadu,FYM
tobacco,black,0.425,0.616666667,0.65,Harvest,0.174074074,0.777777778,No,0.155937053,Yes,Gujarat,Urea
